"Step","Entropy SGD, L=20, s=51, gamma=0.3, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.3, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.3, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020068878775973187","0.020068878775973187","0.020068878775973187"
"1","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"3","0.024888409091472524","0.024888409091472524","0.024888409091472524"
"4","0.02631877644903756","0.02631877644903756","0.02631877644903756"
"5","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"6","0.026019699556579214","0.026019699556579214","0.026019699556579214"
"7","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"8","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"9","0.026019699556579214","0.026019699556579214","0.026019699556579214"